edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
67;hombre;servicios;mantenimiento;terminal picacho;6;16/5/2018;3250000
67;hombre;comercio;tiendas - venta de alimentos;limonar # 1;80;11/7/2018;4000000
51;hombre;comercio;ventas diversas;campo valdes;4;9/8/2018;4000000
33;mujer;comercio;ventas diversas;la iguana;7;17/1/2017;6890000
35;mujer;comercio;distribuidor de vive 100;la iguana;;20/3/2019;8000000
35;hombre;produccion;confecciones;campo valdes;4;14/8/2018;1.95E+07
34;hombre;comercio;venta de comidas preparadas;villa hermosa;8;13/6/2018;3000000
33;hombre;comercio;ventas diversas;manrique guadalupe;3;30/1/2018;7377170
33;hombre;comercio;ventas diversas;santa cruz;2;21/3/2018;4500000
61;hombre;comercio;ventas diversas;caicedo;9;12/6/2018;4000000
61;hombre;produccion;panaderia;san cristobal;60;22/8/2017;7300000
60;hombre;comercio;ventas diversas;buenos aires;9;7/12/2018;7800000
62;hombre;produccion;porcicultura y/o avicultura;villatina;8;14/12/2017;2000000
55;hombre;comercio;comercio;belen la mercedes;80;16/8/2016;5500000
56;hombre;comercio;ventas diversas;san pablo manrrique;1;13/1/2018;6000000
53;hombre;comercio;comercio;robledo villa sofia;7;22/3/2016;6000000
56;hombre;comercio;ventas mekato al por mayor;boyaca las brisas;;4/4/2019;8200000
65;hombre;comercio;comercio;popular #2;1;24/11/2016;2500000
66;hombre;comercio;tiendas - venta de alimentos;popular #2;1;15/8/2018;3750000
61;hombre;comercio;comercio;moravia;4;14/3/2016;4000000
62;hombre;comercio;venta de alimentos;picacho primavera;5;19/12/2017;6000000
53;hombre;servicios;mantenimiento;veinte de julio;13;27/1/2018;6000000
52;hombre;comercio;comercio;santo domingo;1;22/4/2016;4000000
49;hombre;servicios;servicios;popular#2;1;19/12/2016;4100000
51;hombre;comercio;fotografia;parque botero;10;16/5/2018;4690000
45;hombre;comercio;comercio;robledo aures;7;21/9/2016;6890000
48;hombre;produccion;fabricacion de metalmecanica;toscana;6;24/2/2017;7377170
45;hombre;comercio;comercio;manrique la cruz;3;16/2/2016;5000000
41;hombre;comercio;comercio;manrique;4;28/9/2016;6000000
43;hombre;comercio;tiendas - venta de alimentos;manrique;4;26/4/2018;2000000
42;hombre;servicios;mantenimiento;popular 2;1;13/6/2018;5000000
71;hombre;servicios;mantenimiento;aragon;80;12/4/2018;6000000
64;hombre;comercio;comercio;plaza minorista sector 1;10;18/2/2016;6800000
68;hombre;comercio;panaderia;caicedo;9;13/6/2018;1500000
38;hombre;comercio;ventas diversas;la america;12;16/4/2018;2000000
42;hombre;comercio;ventas diversas;villa niza;2;22/6/2017;7377170
60;hombre;comercio;ventas diversas;castilla;5;22/7/2017;2000000
36;mujer;comercio;comercio;robledo keneddy;6;15/12/2016;5500000
39;hombre;comercio;ventas diversas;san antonio de prado;80;11/9/2018;1000000
36;hombre;comercio;comercio;los alcazares;12;21/10/2016;5000000
35;mujer;comercio;venta de alimentos;santo domingo;1;20/6/2017;3000000
22;mujer;comercio;venta de alimentos;picacho;6;19/7/2017;7300000
35;hombre;comercio;tiendas - venta de alimentos;santo domingo;1;20/4/2018;6500000
34;hombre;comercio;artesanias - manualidades;san javier;13;17/4/2018;2000000
69;hombre;comercio;comercio;terminal del norte;5;13/12/2016;4000000
59;hombre;comercio;ventas diversas;centro;10;12/7/2018;800000
59;hombre;comercio;tiendas - venta de alimentos;centro;10;13/6/2018;3450000
50;hombre;produccion;produccion;belen;16;19/4/2016;5800000
43;mujer;produccion;confecciones;independencia;13;24/8/2018;2000000
35;hombre;comercio;venta de alimentos;prado centro;10;20/11/2017;6500000
31;hombre;servicios;servicios;centro;4;24/5/2016;2.80E+07
46;hombre;comercio;comercio;versalle n 2;3;22/1/2016;1000000
48;hombre;comercio;fotografia;versalle n 2;3;26/1/2018;3000000
38;hombre;produccion;confecciones;aldea parte alta;50;13/6/2018;4000000
63;hombre;comercio;mantenimiento;castilla;5;7/12/2018;4000000
63;mujer;comercio;venta de comidas preparadas;prado centro-seca a la estacion hospital;10;23/4/2018;3000000
56;hombre;comercio;comercio;limonar #2;80;20/10/2016;2500000
51;hombre;comercio;arepas de queso;santander;;25/4/2019;829000
48;hombre;comercio;comercio;enciso;8;18/6/2016;3000000
41;hombre;comercio;tiendas - venta de alimentos;pablo escobar;9;16/8/2018;1400000
